Año,Mes,Región,Categoría,Producto,Ventas
2023,Septiembre,Europa,Computadoras,Laptop Y,13761
2023,Septiembre,Europa,Computadoras,Laptop Z,21247
2023,Septiembre,Europa,Smartphones,Phone A,20164
2023,Septiembre,Europa,Smartphones,Phone B,24018
2023,Septiembre,Europa,Smartphones,Phone C,23418
2023,Septiembre,Europa,Accesorios,Mouse,19220
2023,Septiembre,Europa,Accesorios,Teclado,12714
2023,Septiembre,Europa,Accesorios,Audífonos,6300
2023,Septiembre,América,Computadoras,Laptop X,21563
2023,Septiembre,América,Computadoras,Laptop Y,8161
2023,Septiembre,América,Computadoras,Laptop Z,23451
2023,Septiembre,América,Smartphones,Phone A,8160
2023,Septiembre,América,Smartphones,Phone B,13633
2023,Septiembre,América,Smartphones,Phone C,12984
2023,Septiembre,América,Accesorios,Mouse,24003
2023,Septiembre,América,Accesorios,Teclado,5130
2023,Septiembre,América,Accesorios,Audífonos,20243
2023,Septiembre,Asia,Computadoras,Laptop X,19000
2023,Septiembre,Asia,Computadoras,Laptop Y,11517
2023,Septiembre,Asia,Computadoras,Laptop Z,17362
2023,Septiembre,Asia,Smartphones,Phone A,10540
2023,Septiembre,Asia,Smartphones,Phone B,13122
2023,Septiembre,Asia,Smartphones,Phone C,10590
2023,Septiembre,Asia,Accesorios,Mouse,11848
2023,Septiembre,Asia,Accesorios,Teclado,22720
2023,Septiembre,Asia,Accesorios,Audífonos,15058
2023,Octubre,Europa,Computadoras,Laptop X,12751
2023,Octubre,Europa,Computadoras,Laptop Y,23848
2023,Octubre,Europa,Computadoras,Laptop Z,22891
2023,Octubre,Europa,Smartphones,Phone A,15350
2023,Octubre,Europa,Smartphones,Phone B,11574
2023,Octubre,Europa,Smartphones,Phone C,16371
2023,Octubre,Europa,Accesorios,Mouse,19784
2023,Octubre,Europa,Accesorios,Teclado,12091
2023,Octubre,Europa,Accesorios,Audífonos,17434
2023,Octubre,América,Computadoras,Laptop X,14201
2023,Octubre,América,Computadoras,Laptop Y,19891
2023,Octubre,América,Computadoras,Laptop Z,14012
2023,Octubre,América,Smartphones,Phone A,21212
2023,Octubre,América,Smartphones,Phone B,17761
2023,Octubre,América,Smartphones,Phone C,21848
2023,Octubre,América,Accesorios,Mouse,23417
2023,Octubre,América,Accesorios,Teclado,6904
2023,Octubre,América,Accesorios,Audífonos,19746
2023,Octubre,Asia,Computadoras,Laptop X,20061
2023,Octubre,Asia,Computadoras,Laptop Y,15669
2023,Octubre,Asia,Computadoras,Laptop Z,18950
2023,Octubre,Asia,Smartphones,Phone A,13639
2023,Octubre,Asia,Smartphones,Phone B,13869
2023,Octubre,Asia,Smartphones,Phone C,14804
2023,Octubre,Asia,Accesorios,Mouse,12933
2023,Octubre,Asia,Accesorios,Teclado,23824
2023,Octubre,Asia,Accesorios,Audífonos,6228
2023,Noviembre,Europa,Computadoras,Laptop X,19534
2023,Noviembre,Europa,Computadoras,Laptop Y,24412
2023,Noviembre,Europa,Computadoras,Laptop Z,24227
2023,Noviembre,Europa,Smartphones,Phone A,16895
2023,Noviembre,Europa,Smartphones,Phone B,15807
2023,Noviembre,Europa,Smartphones,Phone C,10187
2023,Noviembre,Europa,Accesorios,Mouse,17500
2023,Noviembre,Europa,Accesorios,Teclado,22944
2023,Noviembre,Europa,Accesorios,Audífonos,14787
2023,Noviembre,América,Computadoras,Laptop X,21710
2023,Noviembre,América,Computadoras,Laptop Y,16838
2023,Noviembre,América,Computadoras,Laptop Z,10939
2023,Noviembre,América,Smartphones,Phone A,10050
2023,Noviembre,América,Smartphones,Phone B,7376
2023,Noviembre,América,Smartphones,Phone C,13095
2023,Noviembre,América,Accesorios,Mouse,13263
2023,Noviembre,América,Accesorios,Teclado,24511
2023,Noviembre,América,Accesorios,Audífonos,19051
2023,Noviembre,Asia,Computadoras,Laptop X,24421
2023,Noviembre,Asia,Computadoras,Laptop Y,16810
2023,Noviembre,Asia,Computadoras,Laptop Z,16794
2023,Noviembre,Asia,Smartphones,Phone A,18106
2023,Noviembre,Asia,Smartphones,Phone B,5209
2023,Noviembre,Asia,Smartphones,Phone C,18116
2023,Noviembre,Asia,Accesorios,Mouse,17743
2023,Noviembre,Asia,Accesorios,Teclado,7773
2023,Noviembre,Asia,Accesorios,Audífonos,7847
2023,Diciembre,Europa,Computadoras,Laptop X,9584
2023,Diciembre,Europa,Computadoras,Laptop Y,6509
2023,Diciembre,Europa,Computadoras,Laptop Z,5533
2023,Diciembre,Europa,Smartphones,Phone A,8337
2023,Diciembre,Europa,Smartphones,Phone B,14868
2023,Diciembre,Europa,Smartphones,Phone C,7076
2023,Diciembre,Europa,Accesorios,Mouse,8732
2023,Diciembre,Europa,Accesorios,Teclado,23188
2023,Diciembre,Europa,Accesorios,Audífonos,13974
2023,Diciembre,América,Computadoras,Laptop X,19187
2023,Diciembre,América,Computadoras,Laptop Y,17396
2023,Diciembre,América,Computadoras,Laptop Z,13684
2023,Diciembre,América,Smartphones,Phone A,5818
2023,Diciembre,América,Smartphones,Phone B,7095
2023,Diciembre,América,Smartphones,Phone C,15802
2023,Diciembre,América,Accesorios,Mouse,14293
2023,Diciembre,América,Accesorios,Teclado,5628
2023,Diciembre,América,Accesorios,Audífonos,11365
2023,Diciembre,Asia,Computadoras,Laptop X,10306
2023,Diciembre,Asia,Computadoras,Laptop Y,10921
2023,Diciembre,Asia,Computadoras,Laptop Z,19137
2023,Diciembre,Asia,Smartphones,Phone A,8584
2023,Diciembre,Asia,Smartphones,Phone B,18488
2023,Diciembre,Asia,Smartphones,Phone C,7443
2023,Diciembre,Asia,Accesorios,Mouse,19113
2023,Diciembre,Asia,Accesorios,Teclado,15228
2023,Diciembre,Asia,Accesorios,Audífonos,10598
